CustomerID,Segment,Priority,Recency,Frequency,Monetary
12346,High Value At Risk,P1 - Immediate Retention,326,12,77556.46
16754,High Value At Risk,P1 - Immediate Retention,372,29,67502.47
17850,High Value At Risk,P1 - Immediate Retention,372,155,56600.08
13093,High Value At Risk,P1 - Immediate Retention,276,55,54943.65
15749,High Value At Risk,P1 - Immediate Retention,235,3,44534.3
13902,High Value At Risk,P1 - Immediate Retention,632,5,34095.26
12482,High Value At Risk,P1 - Immediate Retention,576,29,23691.4
14063,High Value At Risk,P1 - Immediate Retention,438,9,22710.2
15808,High Value At Risk,P1 - Immediate Retention,306,21,18409.93
17448,High Value At Risk,P1 - Immediate Retention,497,46,14556.97
15760,High Value At Risk,P1 - Immediate Retention,631,2,13916.34
15032,High Value At Risk,P1 - Immediate Retention,256,8,13780.65
13952,High Value At Risk,P1 - Immediate Retention,218,14,12823.521
13687,High Value At Risk,P1 - Immediate Retention,438,1,11880.84
14134,High Value At Risk,P1 - Immediate Retention,383,15,11123.35
12918,High Value At Risk,P1 - Immediate Retention,626,1,10953.5
18052,High Value At Risk,P1 - Immediate Retention,565,1,10877.18
14028,High Value At Risk,P1 - Immediate Retention,550,3,10396.5
17230,High Value At Risk,P1 - Immediate Retention,264,18,9924.95
12590,High Value At Risk,P1 - Immediate Retention,211,2,9864.26
14828,High Value At Risk,P1 - Immediate Retention,197,13,9839.460000000001
17504,High Value At Risk,P1 - Immediate Retention,206,18,9565.12
14091,High Value At Risk,P1 - Immediate Retention,654,2,9530.08
14439,High Value At Risk,P1 - Immediate Retention,320,5,9443.04
12755,High Value At Risk,P1 - Immediate Retention,281,11,9030.66
13715,High Value At Risk,P1 - Immediate Retention,281,17,8483.29
14160,High Value At Risk,P1 - Immediate Retention,610,7,8421.47
13206,High Value At Risk,P1 - Immediate Retention,400,13,8377.32
18231,High Value At Risk,P1 - Immediate Retention,192,28,6880.97
15413,High Value At Risk,P1 - Immediate Retention,692,5,6798.72
13734,High Value At Risk,P1 - Immediate Retention,509,4,6701.640000000001
15332,High Value At Risk,P1 - Immediate Retention,366,6,6553.74
14154,High Value At Risk,P1 - Immediate Retention,239,8,6460.7
13615,High Value At Risk,P1 - Immediate Retention,319,8,6272.53
15369,High Value At Risk,P1 - Immediate Retention,492,11,6251.26
13935,High Value At Risk,P1 - Immediate Retention,597,3,6116.92
12835,High Value At Risk,P1 - Immediate Retention,428,41,6043.31
15202,High Value At Risk,P1 - Immediate Retention,420,3,6001.49
14105,High Value At Risk,P1 - Immediate Retention,239,5,5988.83
14249,High Value At Risk,P1 - Immediate Retention,411,12,5625.461
16546,High Value At Risk,P1 - Immediate Retention,291,5,5606.47
14081,High Value At Risk,P1 - Immediate Retention,302,10,5370.1
14442,High Value At Risk,P1 - Immediate Retention,205,7,5367.0199999999995
12625,High Value At Risk,P1 - Immediate Retention,212,4,5164.88
17406,High Value At Risk,P1 - Immediate Retention,333,13,4905.05
13659,High Value At Risk,P1 - Immediate Retention,206,12,4894.88
13044,High Value At Risk,P1 - Immediate Retention,291,11,4853.9
17829,High Value At Risk,P1 - Immediate Retention,299,5,4756.74
13958,High Value At Risk,P1 - Immediate Retention,380,8,4709.2300000000005
16858,High Value At Risk,P1 - Immediate Retention,369,10,4668.28
14685,High Value At Risk,P1 - Immediate Retention,576,8,4619.79
16125,High Value At Risk,P1 - Immediate Retention,367,14,4587.65
17508,High Value At Risk,P1 - Immediate Retention,281,8,4579.23
14648,High Value At Risk,P1 - Immediate Retention,416,15,4546.86
17308,High Value At Risk,P1 - Immediate Retention,393,2,4511.76
14625,High Value At Risk,P1 - Immediate Retention,196,11,4497.88
17138,High Value At Risk,P1 - Immediate Retention,276,7,4417.27
16749,High Value At Risk,P1 - Immediate Retention,591,2,4387.08
16118,High Value At Risk,P1 - Immediate Retention,653,1,4376.25
15633,High Value At Risk,P1 - Immediate Retention,509,13,4352.46
16072,High Value At Risk,P1 - Immediate Retention,288,4,4328.89
12967,High Value At Risk,P1 - Immediate Retention,358,3,4306.92
14740,High Value At Risk,P1 - Immediate Retention,197,11,4161.06
17646,High Value At Risk,P1 - Immediate Retention,219,12,4149.79
14025,High Value At Risk,P1 - Immediate Retention,465,8,4057.9
13542,High Value At Risk,P1 - Immediate Retention,377,17,4006.17
17307,High Value At Risk,P1 - Immediate Retention,395,11,3999.8900000000003
14817,High Value At Risk,P1 - Immediate Retention,200,7,3959.86
14465,High Value At Risk,P1 - Immediate Retention,247,11,3946.03
15823,High Value At Risk,P1 - Immediate Retention,372,3,3897.17
13446,High Value At Risk,P1 - Immediate Retention,430,11,3881.89
14532,High Value At Risk,P1 - Immediate Retention,236,11,3859.1800000000003
13357,High Value At Risk,P1 - Immediate Retention,257,5,3838.36
16636,High Value At Risk,P1 - Immediate Retention,438,4,3802.04
15079,High Value At Risk,P1 - Immediate Retention,213,11,3767.35
12623,High Value At Risk,P1 - Immediate Retention,276,7,3747.84
16772,High Value At Risk,P1 - Immediate Retention,423,3,3723.5499999999997
12737,High Value At Risk,P1 - Immediate Retention,499,2,3710.5
12857,High Value At Risk,P1 - Immediate Retention,211,6,3688.0
12872,High Value At Risk,P1 - Immediate Retention,327,12,3685.4900000000002
16718,High Value At Risk,P1 - Immediate Retention,369,5,3647.53
14770,High Value At Risk,P1 - Immediate Retention,232,8,3637.64
15222,High Value At Risk,P1 - Immediate Retention,319,11,3550.91
16336,High Value At Risk,P1 - Immediate Retention,421,4,3517.69
17597,High Value At Risk,P1 - Immediate Retention,214,5,3484.09
12377,High Value At Risk,P1 - Immediate Retention,315,4,3426.32
17876,High Value At Risk,P1 - Immediate Retention,400,3,3424.02
13031,High Value At Risk,P1 - Immediate Retention,407,5,3419.27
16067,High Value At Risk,P1 - Immediate Retention,563,3,3395.29
13135,High Value At Risk,P1 - Immediate Retention,197,2,3371.45
13707,High Value At Risk,P1 - Immediate Retention,267,5,3365.86
