CustomerID,Segment,Priority,Recency,Frequency,Monetary
18102,VIP Loyal,P2 - Maintain Loyalty,1,145,608821.65
14646,VIP Loyal,P2 - Maintain Loyalty,2,151,528602.52
14156,VIP Loyal,P2 - Maintain Loyalty,10,156,313946.37
14911,VIP Loyal,P2 - Maintain Loyalty,1,398,295972.63
17450,VIP Loyal,P2 - Maintain Loyalty,8,51,246973.09
13694,VIP Loyal,P2 - Maintain Loyalty,4,143,196482.81
17511,VIP Loyal,P2 - Maintain Loyalty,3,60,175603.55
16446,VIP Loyal,P2 - Maintain Loyalty,1,2,168472.5
16684,VIP Loyal,P2 - Maintain Loyalty,4,55,147142.77
12415,VIP Loyal,P2 - Maintain Loyalty,24,28,144458.37
15061,VIP Loyal,P2 - Maintain Loyalty,4,127,137818.52
16029,VIP Loyal,P2 - Maintain Loyalty,39,107,122209.14
17949,VIP Loyal,P2 - Maintain Loyalty,1,118,118628.08
15311,VIP Loyal,P2 - Maintain Loyalty,1,208,116771.16
13089,VIP Loyal,P2 - Maintain Loyalty,3,203,116737.86
12931,VIP Loyal,P2 - Maintain Loyalty,22,57,92347.34
14298,VIP Loyal,P2 - Maintain Loyalty,8,82,91194.49
15769,VIP Loyal,P2 - Maintain Loyalty,7,46,88704.32
13798,VIP Loyal,P2 - Maintain Loyalty,1,110,75836.87
15838,VIP Loyal,P2 - Maintain Loyalty,11,34,74163.0
17841,VIP Loyal,P2 - Maintain Loyalty,2,211,70884.07
14096,VIP Loyal,P2 - Maintain Loyalty,4,17,65164.79
14088,VIP Loyal,P2 - Maintain Loyalty,10,16,64036.8
16422,VIP Loyal,P2 - Maintain Loyalty,17,109,63651.47
13081,VIP Loyal,P2 - Maintain Loyalty,12,28,59205.15
16013,VIP Loyal,P2 - Maintain Loyalty,4,84,57446.44
14680,VIP Loyal,P2 - Maintain Loyalty,25,58,57412.77
17389,VIP Loyal,P2 - Maintain Loyalty,1,61,57224.68
12748,VIP Loyal,P2 - Maintain Loyalty,1,336,56599.39
13777,VIP Loyal,P2 - Maintain Loyalty,1,61,56478.42
13408,VIP Loyal,P2 - Maintain Loyalty,2,106,51733.462
17404,VIP Loyal,P2 - Maintain Loyalty,4,23,47781.12
13881,VIP Loyal,P2 - Maintain Loyalty,4,43,45179.1
16705,VIP Loyal,P2 - Maintain Loyalty,1,42,43515.051
14031,VIP Loyal,P2 - Maintain Loyalty,7,44,40999.17
15039,VIP Loyal,P2 - Maintain Loyalty,10,93,40031.43
17381,VIP Loyal,P2 - Maintain Loyalty,9,38,40002.37
12471,VIP Loyal,P2 - Maintain Loyalty,2,79,39963.79
16210,VIP Loyal,P2 - Maintain Loyalty,2,35,38489.51
17675,VIP Loyal,P2 - Maintain Loyalty,1,70,38259.6
17677,VIP Loyal,P2 - Maintain Loyalty,2,54,36692.91
12921,VIP Loyal,P2 - Maintain Loyalty,9,74,35921.04
13767,VIP Loyal,P2 - Maintain Loyalty,2,73,35540.53
12678,VIP Loyal,P2 - Maintain Loyalty,42,21,34281.18
15856,VIP Loyal,P2 - Maintain Loyalty,4,52,34220.340000000004
16779,VIP Loyal,P2 - Maintain Loyalty,2,53,33268.24
14258,VIP Loyal,P2 - Maintain Loyalty,9,25,32051.34
17428,VIP Loyal,P2 - Maintain Loyalty,1,45,31819.760000000002
12709,VIP Loyal,P2 - Maintain Loyalty,15,34,31093.34
12681,VIP Loyal,P2 - Maintain Loyalty,15,45,30868.28
14606,VIP Loyal,P2 - Maintain Loyalty,1,192,30861.06
17940,VIP Loyal,P2 - Maintain Loyalty,49,16,30393.19
13078,VIP Loyal,P2 - Maintain Loyalty,3,57,29532.45
13098,VIP Loyal,P2 - Maintain Loyalty,1,28,28882.44
