CustomerID,Recency,Frequency,Monetary,TotalQuantity,R_Score,F_Score,M_Score,RFM,Segment,Priority,ImpactRate,PotentialImpactRevenue
12346,326,12,77556.46,74285,2,5,5,255,High Value At Risk,P1 - Immediate Retention,0.35,27144.761000000002
12347,2,8,5633.32,3286,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,563.332
12348,75,5,2019.4,2714,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,302.91
12349,19,4,4428.69,1624,5,3,5,535,VIP Loyal,P2 - Maintain Loyalty,0.1,442.86899999999997
12350,310,1,334.4,197,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12351,375,1,300.93,261,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12352,36,10,2849.84,724,4,5,4,454,VIP Loyal,P2 - Maintain Loyalty,0.1,284.98400000000004
12353,204,2,406.76,212,2,2,2,222,Low Priority,P5 - Minimal Effort,0.0,0.0
12354,232,1,1079.4,530,2,1,3,213,Low Priority,P5 - Minimal Effort,0.0,0.0
12355,214,2,947.61,543,2,2,3,223,Low Priority,P5 - Minimal Effort,0.0,0.0
12356,23,6,6373.68,3417,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,637.368
12357,33,3,18287.66,6587,4,3,5,435,VIP Loyal,P2 - Maintain Loyalty,0.1,1828.766
12358,2,5,3887.07,1079,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,388.70700000000005
12359,58,10,8935.94,2752,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,893.594
12360,52,8,4252.89,2459,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,425.28900000000004
12361,287,4,511.25,235,2,3,2,232,Low Priority,P5 - Minimal Effort,0.0,0.0
12362,3,11,5356.23,2230,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,535.6229999999999
12363,110,2,552.0,408,3,2,2,322,Low Priority,P5 - Minimal Effort,0.0,0.0
12364,8,4,1313.1,1506,5,3,4,534,VIP Loyal,P2 - Maintain Loyalty,0.1,131.31
12365,291,2,641.38,174,2,2,3,223,Low Priority,P5 - Minimal Effort,0.0,0.0
12366,634,1,500.24,296,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12367,4,1,168.9,173,5,1,1,511,New/Low Spend Active,P4 - Nurture,0.05,8.445
12368,628,1,917.6999999999999,330,1,1,3,113,Low Priority,P5 - Minimal Effort,0.0,0.0
12369,413,3,1791.15,1241,1,3,4,134,High Value At Risk,P1 - Immediate Retention,0.35,626.9025
